cohort_name,estimate,value,diagnostics,source
user_of_morphine,Frequently seen comorbidities,"Chronic obstructive pulmonary disease, Osteoarthritis, Depression, Anxiety, Hypertension, Diabetes mellitus, Ischemic heart disease, Back pain, Neuropathic pain, Cancer (These comorbidities are commonly seen in individuals requiring morphine due to the increased risk of chronic pain conditions and other health issues that often necessitate opioid pain management.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
user_of_morphine,Frequently seen signs and symptoms,"Pain, Constipation, Nausea, Vomiting, Sedation, Dizziness, Confusion, Respiratory depression, Pruritus, Urinary retention (These signs and symptoms are commonly associated with morphine use due to its effects on the central nervous system and gastrointestinal tract.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
user_of_morphine,Frequently seen medications,"Acetaminophen, Ibuprofen, Gabapentin, Pregabalin, Amitriptyline, Sertraline, Amlodipine, Metoprolol, Omeprazole, Warfarin (These medications are frequently co-prescribed with morphine to manage pain, treat side effects, or address underlying comorbid conditions.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Clinical description,"Measurement of prostate-specific antigen (PSA) level is often conducted to screen for prostate cancer, a disease where abnormal cells grow in the prostate gland, or to monitor its progression or recurrence. Elevated PSA levels can indicate prostate cancer but can also be due to other conditions like benign prostatic hyperplasia or prostatitis.",cohort_count,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Frequency,"PSA testing is frequently performed in older men, especially in primary care settings; expect to identify a substantial number of cases in real-world health care data.",cohort_count,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Median age of incident cases,60 to 75 (PSA testing is more common in older men as the risk of prostate cancer increases with age.),cohort_characteristics,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Percentage male,99% to 100% (PSA testing is almost exclusively performed in males due to the physiology of the prostate gland.),cohort_characteristics,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Survival at five years,"60% to 95% (Survival rates vary widely depending on the underlying cause of PSA elevation and the specific treatments received, but can reflect the overall health of the individual and the successful management of prostate cancer if present.)",cohort_survival,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Cohort overlap,"Overlap with warfarin is expected in 5-15% of cases due to age-related conditions; acetaminophen use could overlap in 20-40% of cases for pain management; morphine overlap is less common at 1-5%, typically for severe pain. These overlaps reflect the management of various conditions alongside potential prostate issues.",compare_cohorts,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Cohort timing,"Individuals may be on warfarin, acetaminophen, or morphine for years before PSA testing due to other conditions, so entry into those cohorts is likely to precede entry into the PSA testing cohort by months to years. Conversely, some may start these medications after a concerning PSA result, leading to entry into the other cohorts after the PSA testing cohort.",compare_cohorts,gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Frequently seen comorbidities,"Hypertension, Hyperlipidemia, Type 2 diabetes mellitus, Benign prostatic hyperplasia, Osteoarthritis, Ischemic heart disease, Chronic kidney disease, Depression, Obesity, Erectile dysfunction (These comorbidities are common in older men and can be related to lifestyle factors, age-related physiological changes, and hormonal influences.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Frequently seen signs and symptoms,"No symptoms (asymptomatic), Frequent urination, Weak urine stream, Nocturia, Erectile dysfunction, Lower back pain, Hip pain, Blood in urine, Bone pain, Urinary retention (Many individuals are asymptomatic, but these signs and symptoms can be related to prostate enlargement or potential prostate cancer and lead to PSA testing.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
measurement_of_prostate_specific_antigen_level,Frequently seen medications,"Statins, Antihypertensives, Alpha-blockers, 5-alpha reductase inhibitors, Nonsteroidal anti-inflammatory drugs, Antidepressants, Oral hypoglycemics, Aspirin, Vitamin D supplements, Bisphosphonates (These medications reflect the common comorbidities and age-related conditions prevalent in individuals undergoing PSA testing.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
