cohort_name,estimate,value,diagnostics,source
prostate cancer,Frequently seen signs and symptoms,"Frequent Urination, Nocturia, Weak Urine Stream, Hesitancy, Urgency, Hematuria, Erectile Dysfunction, Bone Pain, Lower Back Pain, Unexplained Weight Loss (These signs and symptoms arise from the local effects of the tumor on the urinary tract and, in advanced stages, from metastasis to the bones and other organs.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
prostate cancer,Frequently seen medications,"Alpha-Blockers, 5-Alpha Reductase Inhibitors, Luteinizing Hormone-Releasing Hormone Agonists, Anti-Androgens, Bisphosphonates, Analgesics, Antidepressants, Statins, Antihypertensives, Bone-Modifying Agents (These medications reflect treatments for prostate cancer itself, management of side effects from cancer treatment, and concurrent management of common comorbidities.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
morphine,Clinical description,"Morphine is an opioid analgesic used to relieve severe pain, often stemming from tissue injury, surgery, or cancer-related pain pathways.",cohort_count,gemini-2.0-flash
morphine,Frequency,"Morphine use is relatively common, particularly in hospital settings and for managing chronic pain, so identification in real-world health data is expected.",cohort_count,gemini-2.0-flash
morphine,Median age of incident cases,55 to 75 (Individuals typically present in middle to older adulthood when chronic pain conditions and cancer become more prevalent.),cohort_characteristics,gemini-2.0-flash
morphine,Percentage male,"45% to 60% (Men are slightly more likely to be prescribed opioids for pain management, although prevalence is high across both sexes.)",cohort_characteristics,gemini-2.0-flash
morphine,Survival at five years,"30% to 70% (Survival rates vary significantly based on the underlying conditions necessitating morphine use, with serious illnesses impacting long-term prognosis.)",cohort_survival,gemini-2.0-flash
morphine,Frequently seen comorbidities,"Opioid-related disorder, Anxiety, Depression, Chronic pain, Osteoarthritis, Back pain, Insomnia, Gastroesophageal reflux disease, Hypertension, Hyperlipidemia (These comorbidities reflect common conditions associated with chronic pain, opioid use, and potential side effects or lifestyle factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
morphine,Frequently seen signs and symptoms,"Constipation, Nausea, Vomiting, Drowsiness, Dizziness, Confusion, Respiratory depression, Pruritus, Urinary retention, Miosis (These signs and symptoms are typical side effects of morphine and other opioid medications due to their effects on the central nervous system and gastrointestinal tract.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
morphine,Frequently seen medications,"Acetaminophen, Ibuprofen, Gabapentin, Pregabalin, Amitriptyline, Sertraline, Omeprazole, Metoprolol, Atorvastatin, Warfarin (These medications are commonly used to manage pain, nerve-related symptoms, mental health conditions, and other co-existing chronic diseases.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
